Rank;Time;Name;Year;Country;Position;Race;Date;Result score
20;1:48.86;Molifi MOHLOMI;19-Jan-04;RSA;2;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1059
21;1:48.88;Werner GOUWS;14-Jul-07;RSA;1f1;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;1058
22;1:48.95;Duvan FARO;01-Oct-02;RSA;2f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;1056
23;1:49.04;Mihlali POSILE;30-Mar-04;RSA;8;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1053
24;1:49.13;Abednico CHOBA;02-Jul-02;RSA;1h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1051
25;1:49.15;Chris DU PLESSIS;31-May-00;RSA;9;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1050
26;1:49.16;Werner GOUWS;14-Jul-07;RSA;3f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;1050
27;1:49.18;Prince MCABELO;13-Jul-00;RSA;2f2;Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i);14-Feb-26;1049
28;1:49.21;Xavier VAN DER LEEK;21-Jul-06;RSA;2f1;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;1049
29;1:49.25;Prince MCABELO;13-Jul-00;RSA;1f1;Fall Creek Pavilion, Indianapolis, IN (USA) (i);24-Jan-26;1102
30;1:49.31;Xavier VAN DER LEEK;21-Jul-06;RSA;3;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1046
31;1:49.39;Duvan FARO;01-Oct-02;RSA;1;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;1043
32;1:49.45;James SEELIGER;15-Dec-99;RSA;2h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1042
33;1:49.53;Matthew ENDRÖDY;11-Apr-05;RSA;1f6;Dempsey Indoor, Seattle, WA (USA) (i);14-Feb-26;1039
34;1:49.62;Markie MUNZIMBA;11-Jan-06;RSA;4;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1037
35;1:49.96;Chris DU PLESSIS;31-May-00;RSA;3h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1027
36;1:50.05;Molifi MOHLOMI;19-Jan-04;RSA;1;McArthur Stadium, Potchefstroom (RSA);03-Mar-26;1025
37;1:50.07;Prince MCABELO;13-Jul-00;RSA;2f18;Paul Derr TF Facility, Raleigh, NC (USA);28-Mar-26;1024
38;1:50.11;Ian VAN HEERDEN;14-Sept-04;RSA;10;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1023
38;1:50.11;Joshua ADAMS;25-Apr-05;RSA;5;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1023
40;1:50.16;Duvan FARO;01-Oct-02;RSA;1;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;1021
41;1:50.18;Kwazi NOGCANTSI;17-Jan-00;RSA;3h1;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1021
42;1:50.21;Edmund DU PLESSIS;05-Apr-02;RSA;1f1;Pilditch Stadium, Pretoria (RSA);28-Feb-26;1020
43;1:50.22;Prince MCABELO;13-Jul-00;RSA;2f1;Norton Sports Center, Louisville, KY (USA) (i);31-Jan-26;1074
44;1:50.23;Jaden DE WET;15-Jun-05;RSA;6;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1019
45;1:50.24;Xavier VAN DER LEEK;21-Jul-06;RSA;4f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;1019
46;1:50.29;Karabelo MOTLHABEDI;17-May-05;RSA;7;Germiston Stadium, Johannesburg (RSA);28-Mar-26;1018
47;1:50.31;Migael LOUBSER;12-Apr-02;RSA;2f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;1017
48;1:50.44;Christiaan FRANKEN;03-Oct-07;RSA;1f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;1013
49;1:50.46;Princely MHANGANA;29-May-08;RSA;2f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;1013
50;1:50.54;Edmund DU PLESSIS;05-Apr-02;RSA;1h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1011
51;1:50.66;Migael LOUBSER;12-Apr-02;RSA;2h3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;1007
